Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C20, C4, C5",0402,4,4.7u,C326586
"C10, C11, C12, C13, C14, C15, C16, C17, C23, C24, C25, C26, C27, C28, C29, C30, C31, C6, C8, C9",0402,20,100n,C60474
"C18, C19, C21, C22",0402,4,10u,C1856484
"C2, C3",0402,2,15p,C326803
C7,0402,1,4.7u,C60474
"D1, D2",0603,2,LED,
J1,61400416121,1,61400416121,
J12,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-SRSS-TB,
"J13, J2, J4, J5, J6, J7",61611042121502,6,61611042121502,
L1,L_pol_2016,1,3.3u,C42411119
L2,L_pol_2016,1,15u,C42411119
L3,L_pol_2016,1,22u,C42411119
R1,0402,1,33,C844506
"R10, R17, R18, R19, R20, R5, R6, R7",0402,8,10k,C71617
"R11, R12",0402,2,27,C4162575
R13,0402,1,470,C482182
R14,0402,1,100,
"R2, R3, R4",0402,3,1k,C313354
"R27, R28, R30, R32, R34, R8",0402,6,47k,C176117
"R29, R31, R33, R35",0402,4,49.9,C1858992
R9,0402,1,169,
"SW1, SW2",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,2,SW_Push,
U1,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C26537
U2,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2354_80QFN,C39843328
U3,Converter_DCDC_Murata_NXExSxxxxMC_SMD,1,NXE2S0505MC,
U4,SOT65P210X110-5N,1,SN74LVC1G17DCKR,C10425
"U5, U6, U7, U8",SOT65P210X110-6N,4,SN74LVC1T45DCKR,C9382
Y1,XTAL_ABM8-272-T3,1,ABM8-272-T3,C20625731
