Designator,Mid X,Mid Y,Rotation,Layer
C1,134.0,-88.3,0.0,top
C10,129.7,-102.9,270.0,top
C11,128.65,-87.95,90.0,top
C12,123.0,-91.7,180.0,top
C13,123.0,-96.8,180.0,top
C14,138.5,-90.3,0.0,top
C15,138.5,-99.1,0.0,top
C16,139.0,-95.2,0.0,top
C17,126.3,-101.3,180.0,top
C18,80.0,-61.5,180.0,top
C19,95.4,-80.6,180.0,top
C2,129.6,-105.02,0.0,top
C20,76.4,-70.6,180.0,top
C21,98.4025,-91.9,0.0,top
C22,94.6,-77.7,90.0,top
C23,75.7,-126.5,180.0,top
C24,99.4,-129.6,90.0,top
C25,129.4,-129.6,90.0,top
C26,99.4,-131.9,90.0,top
C27,129.4,-131.9,90.0,top
C28,114.4,-129.6,90.0,top
C29,144.4,-129.6,90.0,top
C3,132.6,-105.02,180.0,top
C30,114.4,-131.9,90.0,top
C31,144.4,-131.9,90.0,top
C4,134.0,-87.35,0.0,top
C5,136.2,-88.115,270.0,top
C6,123.0,-94.4,180.0,top
C7,132.4,-102.9,270.0,top
C8,139.0,-94.2,0.0,top
C9,130.0,-85.8,90.0,top
D1,147.0,-57.0,270.0,top
D2,132.0,-57.0,270.0,top
J1,82.0,-55.913,180.0,top
J12,137.1,-115.3,0.0,top
J13,107.0,-51.0,180.0,top
J2,77.0,-139.0,0.0,bottom
J4,97.0,-139.0,0.0,bottom
J5,112.0,-139.0,0.0,bottom
J6,127.0,-139.0,0.0,bottom
J7,142.0,-139.0,0.0,bottom
L1,134.11,-85.45,0.0,top
L2,76.5,-72.5,0.0,top
L3,92.4,-78.2,0.0,top
R1,136.2,-86.25,270.0,top
R10,126.0,-87.2,0.0,top
R11,131.0,-85.8,270.0,top
R12,132.0,-85.8,270.0,top
R13,77.0,-132.4,90.0,top
R14,132.0,-54.5,270.0,top
R17,96.4,-128.8,180.0,top
R18,111.4,-128.8,180.0,top
R19,126.4,-128.8,180.0,top
R2,131.2,-102.9,90.0,top
R20,141.4,-128.8,180.0,top
R27,77.5,-134.2,0.0,top
R28,98.5,-134.0,180.0,top
R29,97.0,-136.5,270.0,top
R3,76.0,-105.7,180.0,top
R30,113.5,-134.0,180.0,top
R31,112.0,-136.5,270.0,top
R32,128.5,-134.0,180.0,top
R33,127.0,-136.5,270.0,top
R34,143.5,-134.0,180.0,top
R35,142.0,-136.5,270.0,top
R4,87.0,-97.2,180.0,top
R5,126.0,-86.25,0.0,top
R6,126.0,-88.15,0.0,top
R7,124.6,-98.3,270.0,top
R8,137.4,-92.1,270.0,top
R9,147.0,-54.5,270.0,top
SW1,82.0,-96.2,0.0,top
SW2,82.025,-104.625,180.0,top
U1,98.4,-85.5,90.0,top
U2,131.0,-94.6,0.0,top
U3,84.8,-75.1,0.0,top
U4,77.0,-128.9,90.0,top
U5,97.6,-131.4,270.0,top
U6,112.6,-131.4,270.0,top
U7,127.6,-131.4,270.0,top
U8,142.6,-131.4,270.0,top
Y1,131.0,-108.6,90.0,top
